 kode_mata_kuliah |                 nama_mata_kuliah                  | total_mahasiswa_mengambil | total_tidak_lulus | persentase_tidak_lulus | peringkat_kritis
------------------+---------------------------------------------------+---------------------------+-------------------+------------------------+------------------
 MK-369           | Praktikum Pembelajaran Mendalam Terapan           |                      1883 |               572 |                  30.38 |                1
 MK-275           | Manajemen Struktur Data Berbasis Cloud            |                      1982 |               592 |                  29.87 |                2
 MK-611           | Pembelajaran Mendalam Berbasis Cloud              |                      2000 |               591 |                  29.55 |                3
 MK-584           | Praktikum Visi Komputer II                        |                      2233 |               656 |                  29.38 |                4
 MK-628           | Evaluasi Forensik Digital I                       |                      2181 |               637 |                  29.21 |                5
 MK-752           | Rekayasa Pengembangan API                         |                      1905 |               556 |                  29.19 |                6
 MK-273           | Manajemen Visi Komputer Terapan                   |                      1988 |               580 |                  29.18 |                7
 MK-767           | Rekayasa Komputasi Awan II                        |                      1810 |               528 |                  29.17 |                8
 MK-636           | Evaluasi Jaringan Komputer Berbasis Cloud         |                      2227 |               648 |                  29.10 |                9
 MK-615           | Pengantar Sistem Basis Data Kontemporer           |                      2182 |               634 |                  29.06 |               10
 MK-004           | Desain Rekayasa Perangkat Lunak Terapan           |                      1803 |               524 |                  29.06 |               10
 MK-056           | Praktikum Sistem Operasi Kontemporer              |                      1868 |               542 |                  29.01 |               11
 MK-124           | Rekayasa Manajemen Proyek TI Lanjut               |                      1898 |               550 |                  28.98 |               12
 MK-272           | Audit Statistika Komputasi Lanjut                 |                      2312 |               670 |                  28.98 |               12
 MK-052           | Keamanan Kecerdasan Buatan Lanjut                 |                      1909 |               553 |                  28.97 |               13
 MK-774           | Topik Khusus Matematika Diskrit II                |                      2240 |               649 |                  28.97 |               13
 MK-488           | Manajemen Analisis Data Eksploratif Terapan       |                      1806 |               523 |                  28.96 |               14
 MK-327           | Evaluasi Kriptografi                              |                      1871 |               541 |                  28.92 |               15
 MK-303           | Pemrosesan Bahasa Alami                           |                      1892 |               545 |                  28.81 |               16
 MK-527           | Pengantar Manajemen Proyek TI Berbasis Cloud      |                      2257 |               650 |                  28.80 |               17
 MK-239           | Praktikum Algoritma                               |                      2192 |               631 |                  28.79 |               18
 MK-672           | Keamanan Struktur Data I                          |                      2171 |               625 |                  28.79 |               18
 MK-290           | Rekayasa Sistem Terdistribusi I                   |                      1814 |               521 |                  28.72 |               19
 MK-633           | Audit Sistem Terdistribusi I                      |                      1892 |               543 |                  28.70 |               20
 MK-616           | Praktikum Sistem Operasi                          |                      1944 |               557 |                  28.65 |               21
 MK-618           | Struktur Data                                     |                      1906 |               546 |                  28.65 |               21
 MK-891           | Desain Struktur Data Terapan                      |                      1822 |               521 |                  28.59 |               22
 MK-612           | Manajemen Manajemen Proyek TI Lanjut              |                      2202 |               629 |                  28.56 |               23
 MK-662           | Desain Komputasi Awan I                           |                      1873 |               535 |                  28.56 |               23
 MK-869           | Audit Visi Komputer                               |                      2168 |               619 |                  28.55 |               24
 MK-143           | Praktikum Statistika Komputasi Kontemporer        |                      2175 |               621 |                  28.55 |               24
 MK-836           | Topik Khusus Sistem Operasi Lanjut                |                      1839 |               524 |                  28.49 |               25
 MK-619           | Audit Visi Komputer Kontemporer                   |                      2202 |               627 |                  28.47 |               26
 MK-666           | Manajemen Pembelajaran Mesin II                   |                      2051 |               584 |                  28.47 |               26
 MK-731           | Topik Khusus Pemrosesan Bahasa Alami Lanjut       |                      2190 |               623 |                  28.45 |               27
 MK-068           | Manajemen Internet of Things Lanjut               |                      1893 |               538 |                  28.42 |               28
 MK-896           | Rekayasa Pemrograman Web II                       |                      1798 |               511 |                  28.42 |               28
 MK-975           | Praktikum Pembelajaran Mendalam Lanjut            |                      1898 |               539 |                  28.40 |               29
 MK-897           | Desain Sistem Terdistribusi II                    |                      1887 |               536 |                  28.40 |               29
 MK-866           | Audit Algoritma I                                 |                      1920 |               545 |                  28.39 |               30
 MK-368           | Desain Forensik Digital Lanjut                    |                      1991 |               565 |                  28.38 |               31
 MK-702           | Evaluasi Pemrograman Web Terapan                  |                      1988 |               564 |                  28.37 |               32
 MK-177           | Pengantar Forensik Digital Kontemporer            |                      1950 |               552 |                  28.31 |               33
 MK-577           | Manajemen Pembelajaran Mendalam Kontemporer       |                      2213 |               626 |                  28.29 |               34
 MK-387           | Sistem Operasi Berbasis Cloud                     |                      1848 |               522 |                  28.25 |               35
 MK-639           | Sistem Terdistribusi Berbasis Cloud               |                      2022 |               571 |                  28.24 |               36
 MK-723           | Desain Algoritma Berbasis Cloud                   |                      2215 |               625 |                  28.22 |               37
 MK-385           | Praktikum Komputasi Awan II                       |                      2194 |               619 |                  28.21 |               38
 MK-953           | Audit Pemrosesan Bahasa Alami                     |                      2287 |               644 |                  28.16 |               39
 MK-510           | Desain Pengembangan API Lanjut                    |                      1825 |               514 |                  28.16 |               39
 MK-588           | Manajemen Kriptografi Kontemporer                 |                      1930 |               543 |                  28.13 |               40
 MK-126           | Desain Keamanan Siber Lanjut                      |                      1801 |               506 |                  28.10 |               41
 MK-642           | Topik Khusus Algoritma Berbasis Cloud             |                      1976 |               555 |                  28.09 |               42
 MK-873           | Audit Kriptografi                                 |                      2175 |               611 |                  28.09 |               42
 MK-589           | Pengantar Manajemen Proyek TI Kontemporer         |                      2019 |               567 |                  28.08 |               43
 MK-342           | Manajemen Statistika Komputasi                    |                      1863 |               523 |                  28.07 |               44
 MK-411           | Manajemen Pembelajaran Mendalam                   |                      2249 |               631 |                  28.06 |               45
 MK-949           | Rekayasa Jaringan Komputer Kontemporer            |                      1991 |               558 |                  28.03 |               46
 MK-929           | Audit Sistem Terdistribusi Lanjut                 |                      2271 |               635 |                  27.96 |               47
 MK-518           | Audit Sistem Basis Data Berbasis Cloud            |                      2283 |               638 |                  27.95 |               48
 MK-566           | Evaluasi Statistika Komputasi Terapan             |                      2147 |               600 |                  27.95 |               48
 MK-713           | Pembelajaran Mendalam Lanjut                      |                      2245 |               627 |                  27.93 |               49
 MK-810           | Praktikum Rekayasa Perangkat Lunak Berbasis Cloud |                      1801 |               503 |                  27.93 |               49
 MK-125           | Audit Analisis Data Eksploratif Kontemporer       |                      1874 |               523 |                  27.91 |               50
 MK-268           | Desain Jaringan Komputer I                        |                      1863 |               520 |                  27.91 |               50
 MK-841           | Manajemen Pemrograman Web Terapan                 |                      1792 |               500 |                  27.90 |               51
 MK-893           | Praktikum Pengembangan API II                     |                      1818 |               507 |                  27.89 |               52
 MK-260           | Praktikum Pembelajaran Mesin II                   |                      1964 |               547 |                  27.85 |               53
 MK-640           | Topik Khusus Sains Data II                        |                      2207 |               614 |                  27.82 |               54
 MK-888           | Desain Algoritma                                  |                      2035 |               566 |                  27.81 |               55
 MK-024           | Evaluasi Visi Komputer Kontemporer                |                      1823 |               507 |                  27.81 |               55
 MK-676           | Evaluasi Statistika Komputasi I                   |                      2227 |               619 |                  27.80 |               56
 MK-408           | Sains Data Berbasis Cloud                         |                      1993 |               554 |                  27.80 |               56
 MK-862           | Desain Internet of Things Terapan                 |                      1749 |               486 |                  27.79 |               57
 MK-078           | Praktikum Komputasi Awan Terapan                  |                      1814 |               504 |                  27.78 |               58
 MK-744           | Pembelajaran Mesin Kontemporer                    |                      1944 |               540 |                  27.78 |               58
 MK-077           | Keamanan Siber Berbasis Cloud                     |                      1923 |               534 |                  27.77 |               59
 MK-928           | Desain Jaringan Komputer                          |                      1865 |               518 |                  27.77 |               59
 MK-150           | Evaluasi Struktur Data Kontemporer                |                      1919 |               533 |                  27.77 |               59
 MK-701           | Audit Forensik Digital Lanjut                     |                      1957 |               543 |                  27.75 |               60
 MK-308           | Pengantar Statistika Komputasi Lanjut             |                      2236 |               620 |                  27.73 |               61
 MK-382           | Topik Khusus Rekayasa Perangkat Lunak             |                      2273 |               630 |                  27.72 |               62
 MK-181           | Rekayasa Internet of Things Lanjut                |                      1902 |               527 |                  27.71 |               63
 MK-036           | Praktikum Pembelajaran Mendalam II                |                      2025 |               561 |                  27.70 |               64
 MK-108           | Manajemen Kecerdasan Buatan Berbasis Cloud        |                      2226 |               616 |                  27.67 |               65
 MK-536           | Praktikum Pembelajaran Mesin Lanjut               |                      2194 |               607 |                  27.67 |               65
 MK-158           | Komputasi Awan I                                  |                      1952 |               539 |                  27.61 |               66
 MK-497           | Evaluasi Struktur Data I                          |                      2251 |               621 |                  27.59 |               67
 MK-653           | Keamanan Pemrograman Web I                        |                      2266 |               625 |                  27.58 |               68
 MK-042           | Evaluasi Kriptografi Lanjut                       |                      2238 |               617 |                  27.57 |               69
 MK-293           | Sains Data II                                     |                      1799 |               496 |                  27.57 |               69
 MK-806           | Manajemen Pemrosesan Bahasa Alami Lanjut          |                      1858 |               512 |                  27.56 |               70
 MK-807           | Evaluasi Manajemen Proyek TI Berbasis Cloud       |                      2217 |               611 |                  27.56 |               70
 MK-154           | Rekayasa Jaringan Komputer I                      |                      1840 |               507 |                  27.55 |               71
 MK-540           | Kriptografi Kontemporer                           |                      2011 |               554 |                  27.55 |               71
 MK-467           | Pengembangan API II                               |                      1840 |               507 |                  27.55 |               71
 MK-986           | Algoritma Lanjut                                  |                      1931 |               532 |                  27.55 |               71
 MK-212           | Evaluasi Pembelajaran Mendalam Terapan            |                      1928 |               531 |                  27.54 |               72
 MK-228           | Evaluasi Algoritma Lanjut                         |                      1994 |               549 |                  27.53 |               73
 MK-067           | Topik Khusus Jaringan Komputer Berbasis Cloud     |                      2203 |               606 |                  27.51 |               74
 MK-413           | Keamanan Statistika Komputasi Lanjut              |                      1992 |               548 |                  27.51 |               74
 MK-957           | Evaluasi Sains Data Terapan                       |                      1859 |               511 |                  27.49 |               75
 MK-012           | Evaluasi Manajemen Proyek TI Terapan              |                      1860 |               511 |                  27.47 |               76
 MK-492           | Keamanan Rekayasa Perangkat Lunak Lanjut          |                      1941 |               533 |                  27.46 |               77
